Date,MSFT_RETURN,MSFT_STDEV,MSFT_ROLL_AVG,SP500_RETURN,SP500_STDEV,RF,Inflation Rate,Next_MSFT_RETURN
2015-06-30,-0.05783194809310854,0.009569450136790798,-0.0025295849449834245,-0.021011671979729973,0.007012480978246243,0.0,0.0027679208104607333,0.05775788353713174
2015-07-31,0.05775788353713174,0.012318004760017685,5.4258913463830125e-05,0.019742029435185104,0.007372288432498157,0.0,0.0015863197801873063,-0.061948735057975046
2015-08-31,-0.061948735057975046,0.023279294698024502,-0.0020641732987806546,-0.0625808182558657,0.016831122210433338,0.0,-4.20108051790713e-06,0.01700337739897395
2015-09-30,0.01700337739897395,0.017813821508290965,-0.001925631102330024,-0.026442831280001577,0.014185014206987192,0.0,-0.002247587519377592,0.1893356016971337
2015-10-31,0.1893356016971337,0.023702184794031238,0.0065961693639806415,0.08298311781266587,0.007940826742070986,0.0,0.0009894820166906904,0.03944425014627573
2015-11-30,0.03944425014627573,0.009709542589953801,0.0049235611800865255,0.0005048691103350933,0.007673264741472635,0.0,0.0011946174910508756,0.020791310079449232
2015-12-31,0.020791310079449232,0.014692448201129846,0.001627219246401838,-0.01753018503269277,0.0116014323105486,0.0001,-0.0010755534268560574,-0.0070295622150894355
2016-01-31,-0.0070295622150894355,0.023831459600581528,0.0001334816885522986,-0.05073532204695208,0.015220988057967925,0.0001,-0.0004584435630738959,-0.06978909349943807
2016-02-29,-0.06978909349943807,0.01706601351074346,-0.0009770961855635233,-0.004128360309003876,0.011700518411519367,0.0002,-0.0013296753235823022,0.0854949234329141
2016-03-31,0.0854949234329141,0.014121619458037579,0.0018426038918582337,0.06599111444005867,0.007187429358498207,0.0002,0.0031347962382444194,-0.09704866015110014
2016-04-30,-0.09704866015110014,0.018165428748913963,-0.002914522956418079,0.0026993982833325436,0.006392568507427822,0.0001,0.0038306451612901693,0.07019670593204697
2016-05-31,0.07019670593204697,0.012440160646316424,-0.0017149072875102256,0.015324602525288666,0.007013663704725155,0.0001,0.0023640958693178504,-0.034528631466187676
2016-06-30,-0.034528631466187676,0.01628799537853881,0.0003560478013961273,0.0009109212401239297,0.01167857431765842,0.0002,0.002775957287827202,0.10768067573514029
2016-07-31,0.10768067573514029,0.013559124945987664,0.0040596226670114016,0.035609800753315435,0.0046770017827414455,0.0002,-0.0005037007434789409,0.02007982116561191
2016-08-31,0.02007982116561191,0.004355904683207233,0.0011320757696802704,-0.0012192428990192017,0.003561874136616665,0.0002,0.0018492217858316895,0.002436470064693941
2016-09-30,0.002436470064693941,0.009996389340303995,3.503607787935792e-05,-0.00123445113931675,0.00914632734867925,0.0002,0.0026232097944252075,0.04027790709100665
2016-10-31,0.04027790709100665,0.011869985233480516,0.0017683796657649632,-0.019425678909034683,0.00415973010294056,0.0002,0.0023426874979268764,0.012468082184393658
2016-11-30,0.012468082184393658,0.01264258059351535,0.0017874666642719343,0.03417452182929526,0.006674924149232571,0.0001,0.0011789477167711837,0.031198009907627222
2016-12-31,0.031198009907627222,0.010635203345078963,0.001414423539286595,0.01820076244186586,0.005040226776203294,0.0003,0.002524522158776188,0.04039265550566262
2017-01-31,0.04039265550566262,0.007943934456980597,0.0011169026754402566,0.01788435819838252,0.004101117312942873,0.0004,0.004043076694815628,-0.004363783920607656
2017-02-28,-0.004363783920607656,0.006422750740507508,0.0009032961080522132,0.037198160066815866,0.0029180971678310686,0.0004,0.0015926573570097524,0.02938436790496346
2017-03-31,0.02938436790496346,0.006504028887453894,0.0007026386091305384,-0.0003891971352694146,0.0051137298408516435,0.0003,-0.00046720162618951733,0.039477591376346766
2017-04-30,0.039477591376346766,0.006291463630158847,0.0019327706065317381,0.009091208748855273,0.0046311237026041485,0.0005,0.001234152821740775,0.02600483497011763
2017-05-31,0.02600483497011763,0.009707756493625102,0.0024293415379247193,0.011576251246327995,0.004863903346711572,0.0006,-0.0007739779600562935,-0.013029295742166491
2017-06-30,-0.013029295742166491,0.011778633211941373,0.0006510271001704611,0.004813775207812565,0.004610620423279967,0.0006,0.0006516286618252209,0.054692894299501305
2017-07-31,0.054692894299501305,0.008591110543491915,0.001311601350559736,0.019348826001101882,0.0035558086314538113,0.0007000000000000001,0.0003276499715354486,0.0339532409463541
2017-08-31,0.0339532409463541,0.008614627289940046,0.0004558772554871249,0.000546433019853465,0.005851727197963041,0.0009,0.0038486261632881824,-0.00374521076833767
2017-09-30,-0.00374521076833767,0.0076962173359073046,0.000976449156210335,0.019302978562167672,0.0035446401378734964,0.0009,0.005106389920997767,0.11665978129568155
